Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Status,SKU,Barcode,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position
,,,,,,,,CH-HD-L,,Size,L,,,,,CH-HD-L,850,shopify,2,deny,manual,24999,29999,TRUE,TRUE,https://images.unsplash.com/photo-1578587018452-892bacefd3f2?w=800,3
Cartier Classic Tee,Minimalist luxury t-shirt with subtle Cartier logo embroidery. Premium Pima cotton with a refined slim fit silhouette.,Cartier,Apparel & Accessories > Clothing > Shirts & Tops,Clothing,"clothing, t-shirt, cartier, luxury",TRUE,active,CR-TEE-S,,Size,S,,,,,CR-TEE-S,250,shopify,5,deny,manual,8999,11999,TRUE,TRUE,https://images.unsplash.com/photo-1521572163474-6863f6e65777?w=800,1
,,,,,,,,CR-TEE-M,,Size,M,,,,,CR-TEE-M,250,shopify,4,deny,manual,8999,11999,TRUE,TRUE,,2
,,,,,,,,CR-TEE-L,,Size,L,,,,,CR-TEE-L,280,shopify,3,deny,manual,8999,11999,TRUE,TRUE,,3
Off-White Utility Jacket,Statement streetwear jacket featuring industrial belt details and signature Off-White arrows. Oversized fit with multiple pockets.,Off-White,Apparel & Accessories > Clothing > Outerwear,Clothing,"clothing, jacket, off-white, utility",TRUE,active,OW-JKT-M,,Size,M,,,,,OW-JKT-M,1200,shopify,2,deny,manual,32999,39999,TRUE,TRUE,https://images.unsplash.com/photo-1551028719-00167b16eac5?w=800,1
,,,,,,,,OW-JKT-L,,Size,L,,,,,OW-JKT-L,1250,shopify,3,deny,manual,32999,39999,TRUE,TRUE,,2
Rolex Submariner,Iconic diver's watch with timeless design. Features Oystersteel case black dial and Cerachrom bezel. Water resistant to 300m.,Rolex,Apparel & Accessories > Jewelry > Watches,Accessories,"accessories, watches, rolex, luxury",TRUE,active,RLX-SUB-BLK,,Color,Black,,,,,RLX-SUB-BLK,150,shopify,1,deny,manual,599999,699999,TRUE,TRUE,https://images.unsplash.com/photo-1524592094714-0f0654e20314?w=800,1
,,,,,,,,RLX-SUB-BLU,,Color,Blue,,,,,RLX-SUB-BLU,150,shopify,1,deny,manual,629999,729999,TRUE,TRUE,https://images.unsplash.com/photo-1614164185128-e4ec99c436d7?w=800,2
Casio G-Shock,Rugged digital watch with shock resistance and 200m water resistance. Features stopwatch countdown timer and LED backlight.,Casio,Apparel & Accessories > Jewelry > Watches,Accessories,"accessories, watches, casio, g-shock",TRUE,active,CS-GSH-BLK,,Color,Black,,,,,CS-GSH-BLK,80,shopify,8,deny,manual,6999,8999,TRUE,TRUE,https://images.unsplash.com/photo-1522312346375-d1a52e2b99b3?w=800,1
,,,,,,,,CS-GSH-CMO,,Color,Camo,,,,,CS-GSH-CMO,85,shopify,5,deny,manual,7499,9499,TRUE,TRUE,https://images.unsplash.com/photo-1623998021450-85c29c644e0d?w=800,2
Gucci Leather Belt,Classic leather belt with signature double G buckle. Made in Italy from smooth black leather with antique gold hardware.,Gucci,Apparel & Accessories > Clothing Accessories > Belts,Accessories,"accessories, belts, gucci, leather",TRUE,active,GC-BLT-32,,Size,32,,,,,GC-BLT-32,500,shopify,5,deny,manual,29999,35999,TRUE,TRUE,https://images.unsplash.com/photo-1624222247344-550fb60583dc?w=800,1
,,,,,,,,GC-BLT-34,,Size,34,,,,,GC-BLT-34,500,shopify,3,deny,manual,29999,35999,TRUE,TRUE,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=800,2
,,,,,,,,GC-BLT-36,,Size,36,,,,,GC-BLT-36,500,shopify,4,deny,manual,29999,35999,TRUE,TRUE,,3
Prada Linea Rossa Sunglasses,Modern sport sunglasses with wrap design and polarized lenses. Features lightweight frame with signature red stripe detail.,Prada,Apparel & Accessories > Jewelry > Sunglasses,Accessories,"accessories, sunglasses, prada, sport",TRUE,active,PR-SUN-BLK,,Color,Black,,,,,PR-SUN-BLK,40,shopify,4,deny,manual,18999,22999,TRUE,TRUE,https://images.unsplash.com/photo-1572635196237-14b3f281503f?w=800,1
,,,,,,,,PR-SUN-TOR,,Color,Tortoise,,,,,PR-SUN-TOR,42,shopify,2,deny,manual,19999,23999,TRUE,TRUE,https://images.unsplash.com/photo-1511499767150-a48a237f0083?w=800,2
YSL Black Opium Perfume,Iconic warm and spicy women's fragrance with notes of coffee vanilla and white flowers. Long-lasting Eau de Parfum.,YSL,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes,Accessories,"accessories, perfumes, ysl, beauty",TRUE,active,YSL-PRF-50,,Size,50ml,,,,,YSL-PRF-50,300,shopify,6,deny,manual,6999,8999,TRUE,TRUE,https://images.unsplash.com/photo-1541643600914-78b084683601?w=800,1
,,,,,,,,YSL-PRF-90,,Size,90ml,,,,,YSL-PRF-90,500,shopify,4,deny,manual,9999,11999,TRUE,TRUE,https://images.unsplash.com/photo-1594035910387-fea47794261f?w=800,2
Louis Vuitton Speedy,Iconic monogram canvas handbag with natural cowhide leather trim. Features rolled leather handles and padlock closure.,Louis Vuitton,Apparel & Accessories > Handbags > Handbags,Accessories,"accessories, bags, lv, luxury",TRUE,active,LV-BAG-25,,Size,25,,,,,LV-BAG-25,800,shopify,2,deny,manual,125999,149999,TRUE,TRUE,https://images.unsplash.com/photo-1584917865442-de89df76afd3?w=800,1
,,,,,,,,LV-BAG-30,,Size,30,,,,,LV-BAG-30,900,shopify,1,deny,manual,139999,159999,TRUE,TRUE,https://images.unsplash.com/photo-1591561954557-26941169b49e?w=800,2
Cartier Love Bracelet,18K yellow gold bracelet with signature screw motif. Iconic screw design requires screwdriver to open - symbolizing sealed love.,Cartier,Apparel & Accessories > Jewelry > Bracelets,Accessories,"accessories, jewelry, cartier, bracelet",TRUE,active,CR-BRC-16,,Size,16,,,,,CR-BRC-16,50,shopify,1,deny,manual,299999,349999,TRUE,TRUE,https://images.unsplash.com/photo-1611591437281-460bfbe1220c?w=800,1
,,,,,,,,CR-BRC-17,,Size,17,,,,,CR-BRC-17,52,shopify,1,deny,manual,299999,349999,TRUE,TRUE,,2
,,,,,,,,CR-BRC-18,,Size,18,,,,,CR-BRC-18,55,shopify,1,deny,manual,299999,349999,TRUE,TRUE,https://images.unsplash.com/photo-1603561591411-07134e71a2a9?w=800,3
